Date,Orders,UTR SKU,Basket SKU,%FR,%VFR,%Order Lost,%OL>5',%VL,DT,%Replacement Rate,Not Found Rate,%Item Not delivered,%Inaccuracy,%Close Time,%Seamless Orders,Rating,CVR3,EPT,%OOSFR,Basket ITEM,%Picking Late,%Order Late > 10,%Replacement Sent,total_orders,Picking Time,WOT,%Forced Pre Orders,%Pre Orders,%Partial Orders,Starting Time
16 jul 2026,28,2.734334541688244,4.701785714285714,0,0,-,0.2,0.14285714285714285,43.844166666666666,0,0.045454545454545456,0.0761904761904762,-,-,0.42857142857142855,4.75,0.0762711864406779,19.4,0,6.666071428571428,0,0.2,0,28,5.124561403508772,1.0000000000000002,-,-,0,0.2692982456140351
15 jul 2026,26,5.237603305785124,5.819696969696969,0.07142857142857142,0,0.07142857142857142,0.23076923076923078,0.23076923076923078,46.76794871794872,0.4,0.048484848484848485,0.017391304347826087,-,-,0.5714285714285714,4.6,0.1336405529953917,21.714285714285715,0,8.58181818181818,0,0.19230769230769232,0,28,7.111538461538462,1.0,-,-,0,0.3794871794871795
14 jul 2026,19,3.5,4.871212121212121,0.05,0,-,0.10526315789473684,0.2631578947368421,38.83684210526316,0.6666666666666666,0.028037383177570093,-0.032520325203252036,-,0.10246913580246914,0.65,-,0.0714285714285714,21.8,0,5.992424242424241,0,0.05263157894736842,1,20,6.731578947368422,0.9589745621681592,-,-,0,0.3
13 jul 2026,-,0,-,-,-,-,-,-,-,-,-,-,-,1,-,-,0.0,-,-,-,-,-,-,-,-,0.0,-,-,-,-
12 jul 2026,-,0,-,-,-,-,-,-,-,-,-,-,-,1,-,-,0.0,-,-,-,-,-,-,-,-,0.0,-,-,-,-
11 jul 2026,-,0,-,-,-,-,-,-,-,-,-,-,-,1,-,-,0.0,-,-,-,-,-,-,-,-,0.0,-,-,-,-
10 jul 2026,-,0,-,-,-,-,-,-,-,-,-,-,-,1,-,-,0.0,-,-,-,-,-,-,-,-,0.0,-,-,-,-
9 jul 2026,40,6.933888599687663,4.728571428571429,0.047619047619047616,0.047619047619047616,0.07142857142857142,0.2,0.1,43.06458333333333,0.3333333333333333,0.06912442396313365,0.06569343065693431,0.05,-,0.5238095238095238,3,0.1254752851711026,20.523809523809526,0.047619047619047616,5.793452380952381,0,0.15,1,42,5.708333333333333,1.0,-,-,0.047619047619047616,0.37041666666666667
8 jul 2026,30,6.8125,7.093073593073592,0.09090909090909091,0.030303030303030304,0.21212121212121213,0.23333333333333334,0.16666666666666666,52.21722222222222,0.4,0.037037037037037035,0.03214285714285714,0.03333333333333333,-,0.42424242424242425,-,0.1095406360424028,23.939393939393938,0.030303030303030304,9.676406926406926,0,0.2,1,33,10.078333333333335,1.0000000000000002,-,-,0,1.0744444444444445
7 jul 2026,39,8.549141965678627,6.67069597069597,0.025,0.025,0.075,0.20512820512820512,0.15384615384615385,44.76923076923077,0.5714285714285714,0.09615384615384616,0.032457952198288585,0.07692307692307693,-,0.5,-,0.1382978723404255,23.025,0.025,8.504212454212453,0,0.1282051282051282,1,40,8.57905982905983,1.0,-,-,0,0.5628205128205129
6 jul 2026,36,6.71875,5.069444444444444,0.07692307692307693,0.05128205128205128,0.1282051282051282,0.1388888888888889,0.2222222222222222,41.67824074074073,0.5833333333333334,0.06763285024154589,0.01773049645390071,0.027777777777777776,-,0.6153846153846154,-,0.1037735849056603,21.205128205128204,0.05128205128205128,6.572817460317459,0,0.08333333333333333,1,39,7.138425925925926,1.0,-,-,0,0.861574074074074
5 jul 2026,58,10.31055900621118,6.897222222222222,0.03333333333333333,0,0.1,0.07547169811320754,0.3275862068965517,50.70817610062893,0.5,0.0875,0.05002605523710266,-,-,0.4166666666666667,3.857142857142857,0.1244979919678714,27.25925925925926,0,8.964583333333332,0,0.07547169811320754,1,60,7.724712643678161,1.0,-,-,0.03333333333333333,0.3896551724137931
4 jul 2026,57,8.571428571428571,5.578632478632479,0.09523809523809523,0.015873015873015872,0.19047619047619047,0.14035087719298245,0.2631578947368421,47.869590643274854,0.6,0.02346041055718475,0.019461371841155234,0.03508771929824561,-,0.6666666666666666,5,0.1295843520782396,25.253968253968253,0.015873015873015872,7.45989010989011,0.03508771929824561,0.08771929824561403,1,63,8.387134502923976,1.0,-,-,0,0.48508771929824557
3 jul 2026,50,8.664935064935067,4.457692307692308,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.1,0.28,37.68266666666666,0.5294117647058824,0.08178438661710037,0.04644808743169399,0.02,-,0.5490196078431373,5,0.1486486486486486,22.705882352941178,0.0196078431372549,6.02051282051282,0,0.06,1,51,6.099999999999999,1.0,-,-,0,0.635
2 jul 2026,35,6.125,5.308333333333334,0,0,0.08571428571428572,0.17142857142857143,0.22857142857142856,38.110952380952384,0.42857142857142855,0.046632124352331605,0.03262955854126679,0.05714285714285714,-,0.6857142857142857,5,0.0884353741496598,21.857142857142858,0,7.108333333333333,0,0.11428571428571428,1,35,6.338095238095238,1.0000000000000002,-,-,0,2.051904761904762
1 jul 2026,39,8.789610389610388,8.559615384615386,0.04878048780487805,0.024390243902439025,0.0975609756097561,0.1282051282051282,0.2564102564102564,42.72649572649573,0.5333333333333333,0.07272727272727272,0.06363636363636363,0.05128205128205128,-,0.4634146341463415,4,0.1103896103896103,23.682926829268293,0.024390243902439025,10.966025641025642,0,0.05128205128205128,1,41,7.763247863247863,1.0,-,-,0,0.3213675213675214
30 jun 2026,40,6.912,5.4243589743589755,0,0,0.075,0.175,0.15,39.67208333333333,0.36363636363636365,0.051643192488262914,0.03180212014134275,-,-,0.7,5,0.1204379562043795,22.55,0,7.5487179487179485,0,0.075,1,40,6.47875,1.0,-,-,0,0.37666666666666665
29 jun 2026,57,16.01246105919003,9.099267399267399,0.03389830508474576,0,0.288135593220339,0.17543859649122806,0.38596491228070173,55.373976608187135,0.3333333333333333,0.05128205128205128,0.027463651050080775,0.08771929824561403,-,0.3050847457627119,5,0.1166666666666666,30.76271186440678,0,11.333516483516483,0,0.08771929824561403,1,59,9.746783625730993,1.0,-,-,0,3.425730994152047
28 jun 2026,22,4.529085872576177,5.1066666666666665,0,0,0.045454545454545456,0.09090909090909091,0.13636363636363635,40.060606060606055,0.3333333333333333,0.056074766355140186,0.03875968992248062,0.045454545454545456,-,0.7272727272727273,-,0.0769230769230769,24.363636363636363,0,6.166666666666667,0,0.045454545454545456,1,22,5.803787878787879,1.0,-,-,0,0.4045454545454545
27 jun 2026,56,17.391304347826086,8.011309523809524,0.05084745762711865,0.01694915254237288,0.0847457627118644,0.07142857142857142,0.2857142857142857,46.36458333333333,0.3333333333333333,0.05491990846681922,0.043875685557586835,0.07142857142857142,-,0.4915254237288136,5,0.1501501501501501,29.338983050847457,0.01694915254237288,10.698214285714286,0.017857142857142856,0.05357142857142857,1,59,10.255059523809523,1.0,-,-,0.01694915254237288,0.7863095238095239
26 jun 2026,50,15.390946502057613,7.548046398046399,0.0196078431372549,0.0196078431372549,-,0.16,0.14,47.24666666666667,0.13333333333333333,0.06182795698924731,0.07597535934291581,0.02,-,0.47058823529411764,4.25,0.1615120274914089,25.45098039215686,0.0196078431372549,9.385653235653235,0,0.12,1,51,8.602333333333334,1.0,-,-,0,1.1433333333333335
25 jun 2026,38,14.125,5.601388888888889,0.05,0,0.025,0.2894736842105263,0.21052631578947367,41.675438596491226,0.2727272727272727,0.04932735426008968,0.03741496598639456,0.05263157894736842,-,0.6,4.428571428571429,0.1133603238866396,21.975,0,7.441666666666666,0.05263157894736842,0.10526315789473684,1,40,8.193859649122807,1.0,-,-,0.025,1.3662280701754386
24 jun 2026,42,17.4375,6.470238095238096,0,0,0.023809523809523808,0.21428571428571427,0.2619047619047619,44.05912698412699,0.6666666666666666,0.04395604395604396,0.0281866583150642,0.023809523809523808,-,0.6904761904761905,5,0.1322957198443579,23.238095238095237,0,7.885714285714285,0,0.16666666666666666,1,42,6.638888888888888,1.0000000000000002,-,-,0.023809523809523808,2.91468253968254
23 jun 2026,39,17.3125,6.778205128205128,0,0,-,0.3076923076923077,0.1794871794871795,48.02478632478633,0.5555555555555556,0.051470588235294115,0.019726858877086494,0.05128205128205128,-,0.5641025641025641,4.833333333333333,0.0929368029739776,24.871794871794872,0,8.256410256410255,0.05263157894736842,0.23076923076923078,1,39,10.690350877192982,1.0,-,-,0,2.576315789473684
22 jun 2026,38,11.875,7.25297619047619,0.07317073170731707,0.024390243902439025,0.07317073170731707,0.21052631578947367,0.2631578947368421,45.32324561403509,0,0.028169014084507043,0.02147239263803681,0.02631578947368421,-,0.6585365853658537,5,0.1338582677165354,24.853658536585368,0.024390243902439025,8.553571428571429,0.02631578947368421,0.18421052631578946,1,41,9.04561403508772,1.0,-,-,0,0.5947368421052632
21 jun 2026,37,7.319148936170213,4.064102564102564,0.075,0.075,0.05,0.02702702702702703,0.1891891891891892,41.66261261261262,0.5714285714285714,0.08484848484848485,0.032989690721649485,0.05405405405405406,0.012345679012345678,0.525,5,0.0901639344262295,25.85,0.05,5.807692307692308,0,0.02702702702702703,1,40,7.320720720720719,0.9965432941042698,-,-,0,3.1779279279279278
20 jun 2026,45,10.576131687242798,5.808333333333333,0.021739130434782608,0.021739130434782608,0.17391304347826086,0.28888888888888886,0.3111111111111111,60.45074074074075,0.2222222222222222,0.03529411764705882,0.03939393939393939,0.06666666666666667,0.07160493827160494,0.4782608695652174,4,0.1125,27,0.021739130434782608,7.514102564102564,0.1111111111111111,0.24444444444444444,1,46,13.186296296296296,0.9404859468288836,-,-,0,6.693703703703704
19 jun 2026,20,4.7899159663865545,5.408333333333333,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.35,0,53.60666666666667,0.25,0.05309734513274336,0.07215007215007216,-,0.10246913580246914,0.5238095238095238,5,0.0803571428571428,22.523809523809526,0.047619047619047616,6.5583333333333345,0,0.3,1,21,9.337500000000002,0.9721365005244816,-,-,0,0.4616666666666667
18 jun 2026,41,15.91093117408907,5.780952380952381,0.023809523809523808,0.023809523809523808,-,0.3170731707317073,0.24390243902439024,51.986178861788616,0.29411764705882354,0.06614785992217899,0.06285714285714286,0.04878048780487805,-,0.5238095238095238,4,0.1104100946372239,22.38095238095238,0,7.963095238095237,0.14634146341463414,0.17073170731707318,1,42,12.904065040650408,1.0,-,-,0.047619047619047616,4.238211382113822
17 jun 2026,43,15.495867768595042,4.824319727891156,0.044444444444444446,0.022222222222222223,0.022222222222222223,0.3023255813953488,0.32558139534883723,52.10271317829457,0.3333333333333333,0.06910569105691057,0.056105610561056105,-,-,0.5111111111111111,2.6666666666666665,0.1012269938650306,22.755555555555556,0.022222222222222223,6.133503401360544,0.06976744186046512,0.23255813953488372,1,45,12.190310077519378,1.0,-,-,0.044444444444444446,3.2562015503875967
16 jun 2026,45,18.95068205666317,6.517857142857143,0.0425531914893617,0.02127659574468085,0.10638297872340426,0.2,0.28888888888888886,52.06703703703704,0.16666666666666666,0.0738255033557047,0.04819277108433735,0.022222222222222223,0.03580246913580247,0.425531914893617,5,0.1149425287356321,24.76595744680851,0.02127659574468085,8.20595238095238,0.044444444444444446,0.1111111111111111,1,47,11.369629629629628,0.9777303884234576,-,-,0,3.424444444444444
15 jun 2026,28,8.760330578512397,7.513888888888888,0,0,-,0.32142857142857145,0.21428571428571427,49.57202380952382,0.5384615384615384,0.0821256038647343,0.051181102362204724,-,-,0.5,5,0.0631578947368421,25.535714285714285,0,9.006944444444445,0.07142857142857142,0.2857142857142857,1,28,11.567261904761905,1.0,-,-,0,1.6273809523809522
